,Line Name,dgfp_dt,p1,p2,p3,p4,p5
746,SP471-r1,95.98083991837225,4.0,9.0,15.0,24.0,25.0
747,SP471-r2,106.82496747824335,4.0,9.0,15.0,24.0,25.0
748,SP471-r3,97.39213485327605,4.0,9.0,15.0,24.0,25.0
749,SP472-r1,130.95934376917666,1.0,11.0,15.0,21.0,25.0
750,SP472-r2,133.56263223330328,1.0,11.0,15.0,21.0,25.0
751,SP472-r3,132.04712132802848,1.0,11.0,15.0,21.0,25.0
752,SP478-r1,66.27912722070229,1.0,11.0,13.0,21.0,27.0
753,SP478-r2,64.3420444682098,1.0,11.0,13.0,21.0,27.0
754,SP478-r3,73.09233820426687,1.0,11.0,13.0,21.0,27.0
755,SP480-r2,141.57702679816674,2.0,12.0,15.0,22.0,30.0
756,SP480-r3,137.22786106549168,2.0,12.0,15.0,22.0,30.0
757,SP507-r1,150.92500392658107,1.0,7.0,13.0,19.0,25.0
758,SP507-r2,146.05146005108438,1.0,7.0,13.0,19.0,25.0
759,SP507-r3,137.41692237086608,1.0,7.0,13.0,19.0,25.0
760,SP521-r1,146.17287711004775,6.0,12.0,18.0,23.0,28.0
761,SP521-r2,146.78491314807917,6.0,12.0,18.0,23.0,28.0
762,SP521-r3,134.4597912926846,6.0,12.0,18.0,23.0,28.0
763,SP522-r1,81.91051260073523,6.0,12.0,18.0,23.0,28.0
764,SP522-r2,76.66304553932943,6.0,12.0,18.0,23.0,28.0
765,SP522-r3,68.16221729179745,6.0,12.0,18.0,23.0,28.0
766,SP529-r1,215.67609232319873,4.0,11.0,17.0,24.0,30.0
767,SP529-r2,248.25713615587296,4.0,11.0,17.0,24.0,30.0
768,SP529-r3,187.77509240620702,4.0,11.0,17.0,24.0,30.0
769,SP530-r1,217.88250352438305,4.0,11.0,17.0,24.0,30.0
770,SP530-r3,199.45902753658882,4.0,11.0,17.0,24.0,30.0
771,SP534-r1,219.65740418102718,4.0,11.0,17.0,24.0,30.0
772,SP534-r2,209.01827895141201,4.0,11.0,17.0,24.0,30.0
773,SP534-r3,205.699475502026,4.0,11.0,17.0,24.0,30.0
774,SP543-r1,249.5879047889795,2.0,8.0,14.0,23.0,28.0
775,SP543-r2,236.74494294475255,2.0,8.0,14.0,23.0,28.0
776,SP543-r3,242.85957102095344,2.0,8.0,14.0,23.0,28.0
777,SP553-r1,113.7890994910302,3.0,9.0,15.0,20.0,26.0
778,SP553-r2,136.98265431796023,3.0,9.0,15.0,20.0,26.0
779,SP553-r3,147.6946408743127,3.0,9.0,15.0,20.0,26.0
780,SP554-r1,52.083963665092206,3.0,9.0,15.0,20.0,26.0
781,SP554-r2,74.05548986235314,3.0,9.0,15.0,20.0,26.0
782,SP554-r3,67.15530737219284,3.0,9.0,15.0,20.0,26.0
783,SP556-r1,92.7570525330725,3.0,9.0,15.0,20.0,26.0
784,SP556-r2,78.68467063180834,3.0,9.0,15.0,20.0,26.0
785,SP556-r3,77.58680790583695,3.0,9.0,15.0,20.0,26.0
786,SP558-r1,113.09749455254399,3.0,9.0,15.0,20.0,26.0
787,SP558-r2,133.9326793323842,3.0,9.0,15.0,20.0,26.0
788,SP558-r3,130.4383543680784,3.0,9.0,15.0,20.0,26.0
789,SP567-r1,115.55558622095147,3.0,9.0,15.0,20.0,26.0
790,SP567-r2,116.04726242946307,3.0,9.0,15.0,20.0,26.0
791,SP567-r3,140.76689014901348,3.0,9.0,15.0,20.0,26.0
