,Line Name,dgfp_dt,p1,p2,p3,p4,p5
161,SP108-r3,127.5098567000769,1.0,10.0,18.0,21.0,26.0
162,SP109-r1,186.43627258326663,3.0,11.0,17.0,21.0,30.0
163,SP109-r2,195.7989688807527,3.0,11.0,17.0,21.0,30.0
164,SP109-r3,197.12648454941373,3.0,11.0,17.0,21.0,30.0
165,SP110-r1,121.71588457508795,2.0,9.0,13.0,24.0,27.0
166,SP110-r2,131.52700086271375,2.0,9.0,13.0,24.0,27.0
167,SP110-r3,134.70081416434672,2.0,9.0,13.0,24.0,27.0
168,SP111-r1,112.06466486308845,1.0,9.0,15.0,24.0,26.0
169,SP111-r2,147.4765393850613,1.0,9.0,15.0,24.0,26.0
170,SP111-r3,137.08442396787947,1.0,9.0,15.0,24.0,26.0
171,SP116-r1,72.96541838781776,1.0,8.0,13.0,20.0,29.0
172,SP116-r2,87.08427422212718,1.0,8.0,13.0,20.0,29.0
173,SP116-r3,96.25977763455121,1.0,8.0,13.0,20.0,29.0
174,SP118-r1,218.10168697757615,6.0,10.0,17.0,19.0,29.0
175,SP118-r2,203.03824845198054,6.0,10.0,17.0,19.0,29.0
176,SP118-r3,203.2374293220345,6.0,10.0,17.0,19.0,29.0
177,SP119-r1,95.73954904017782,3.0,12.0,15.0,21.0,28.0
178,SP119-r2,124.38634853639334,3.0,12.0,15.0,21.0,28.0
179,SP119-r3,120.06944060690161,3.0,12.0,15.0,21.0,28.0
180,SP120-r1,136.12721205709298,1.0,10.0,13.0,19.0,27.0
181,SP120-r2,124.32918400213364,1.0,10.0,13.0,19.0,27.0
182,SP120-r3,121.56957413292253,1.0,10.0,13.0,19.0,27.0
183,SP123-r1,144.02656766465324,1.0,11.0,15.0,24.0,30.0
184,SP123-r2,156.14175042382323,1.0,11.0,15.0,24.0,30.0
185,SP123-r3,166.87045123323546,1.0,11.0,15.0,24.0,30.0
186,SP124-r1,185.95965532387888,3.0,12.0,13.0,19.0,26.0
187,SP124-r2,178.93227503985645,3.0,12.0,13.0,19.0,26.0
188,SP124-r3,172.3673560131796,3.0,12.0,13.0,19.0,26.0
189,SP126-r1,122.38431974346918,6.0,11.0,15.0,22.0,25.0
190,SP126-r2,114.60380569839606,6.0,11.0,15.0,22.0,25.0
191,SP126-r3,129.89528841356875,6.0,11.0,15.0,22.0,25.0
192,SP128-r1,215.0533069314647,2.0,7.0,17.0,19.0,29.0
193,SP128-r2,224.15277819375692,2.0,7.0,17.0,19.0,29.0
194,SP128-r3,207.04767833402056,2.0,7.0,17.0,19.0,29.0
195,SP130-r1,155.8338678992977,2.0,8.0,15.0,22.0,26.0
196,SP130-r2,169.80230165924877,2.0,8.0,15.0,22.0,26.0
197,SP130-r3,178.47726688614142,2.0,8.0,15.0,22.0,26.0
198,SP131-r1,125.87257399595518,3.0,11.0,15.0,19.0,29.0
199,SP131-r2,137.69624039168752,3.0,11.0,15.0,19.0,29.0
200,SP131-r3,133.94720747878097,3.0,11.0,15.0,19.0,29.0
201,SP132-r1,197.20900988059054,6.0,12.0,17.0,21.0,30.0
202,SP132-r2,191.29490162890642,6.0,12.0,17.0,21.0,30.0
203,SP132-r3,198.05703969234713,6.0,12.0,17.0,21.0,30.0
204,SP135-r1,137.49717039790798,2.0,10.0,15.0,21.0,30.0
205,SP135-r2,150.68823974219706,2.0,10.0,15.0,21.0,30.0
206,SP135-r3,154.06644735639247,2.0,10.0,15.0,21.0,30.0
207,SP137-r1,210.59017552535673,2.0,11.0,18.0,23.0,29.0
208,SP137-r2,208.53270201053388,2.0,11.0,18.0,23.0,29.0
209,SP137-r3,192.5516006128233,2.0,11.0,18.0,23.0,29.0
210,SP139-r1,183.3807997043686,3.0,10.0,18.0,22.0,26.0
211,SP139-r2,211.1489595144159,3.0,10.0,18.0,22.0,26.0
